43.096720000	-0.055260000	377.8	0.000	0.00
43.096660000	-0.055180000	378.0	0.009	9.32
43.096610000	-0.055140000	378.1	0.016	6.44
43.096620000	-0.055000000	378.0	0.027	11.45
43.096720000	-0.054330000	375.4	0.083	55.67
43.096660000	-0.054320000	375.6	0.090	6.72
43.096060000	-0.053820000	374.6	0.168	78.10
43.095720000	-0.053520000	373.3	0.213	44.98
43.095540000	-0.053350000	372.0	0.237	24.32
43.095400000	-0.053250000	371.1	0.255	17.56
43.095340000	-0.053240000	370.9	0.261	6.72
43.095310000	-0.053240000	370.8	0.265	3.33
43.095290000	-0.053120000	370.3	0.275	10.02
43.095180000	-0.052810000	370.0	0.303	28.04
43.095140000	-0.052570000	370.0	0.323	20.04
43.095160000	-0.052410000	370.6	0.336	13.21
43.095140000	-0.052330000	371.2	0.343	6.88
43.095570000	-0.051650000	372.9	0.416	73.12
43.095630000	-0.051530000	372.8	0.428	11.83
43.095670000	-0.051340000	373.5	0.444	16.09
43.095680000	-0.051020000	375.2	0.470	26.08
43.095600000	-0.050600000	380.6	0.505	35.33
43.095390000	-0.049940000	388.0	0.564	58.58
43.095190000	-0.049500000	391.2	0.606	42.15
43.095060000	-0.049290000	396.1	0.628	22.38
43.095050000	-0.049160000	399.0	0.639	10.64
43.095100000	-0.048690000	414.9	0.678	38.67
43.095150000	-0.047810000	404.3	0.750	71.86
43.095270000	-0.047380000	400.0	0.787	37.46
43.095500000	-0.046600000	399.0	0.855	68.45
43.095560000	-0.046310000	398.3	0.880	24.53
43.095170000	-0.046220000	399.4	0.924	43.94
43.094860000	-0.046120000	400.5	0.959	35.39
43.094550000	-0.046120000	401.6	0.994	34.44
43.094230000	-0.046180000	402.8	1.030	35.88
43.094070000	-0.046210000	403.3	1.048	17.94
43.093930000	-0.046230000	403.9	1.063	15.64
43.093510000	-0.046240000	405.4	1.110	46.67
43.092770000	-0.046190000	407.0	1.192	82.31
43.092220000	-0.046170000	406.2	1.253	61.12
43.092280000	-0.045110000	404.1	1.340	86.56
43.092320000	-0.044870000	403.7	1.360	20.04
43.092440000	-0.044510000	403.2	1.392	32.20
43.092540000	-0.044280000	402.5	1.414	21.77
43.092760000	-0.043940000	402.2	1.451	36.93
43.093230000	-0.043240000	401.8	1.528	77.29
43.093390000	-0.042990000	401.0	1.555	27.02
43.093650000	-0.042600000	400.9	1.598	42.92
43.093820000	-0.042270000	400.0	1.631	32.84
43.093930000	-0.042050000	400.0	1.653	21.68
43.094790000	-0.040040000	400.6	1.842	189.49
43.094890000	-0.039920000	400.4	1.857	14.79
43.094820000	-0.039720000	400.7	1.875	18.04
43.094720000	-0.039150000	402.0	1.923	47.72
43.094660000	-0.038720000	402.4	1.958	35.64
43.094530000	-0.038080000	404.3	2.012	54.07
43.094470000	-0.037970000	404.8	2.024	11.16
43.094430000	-0.037810000	405.1	2.037	13.76
43.094410000	-0.037610000	405.9	2.054	16.43
43.094400000	-0.037330000	405.8	2.077	22.82
43.094460000	-0.036820000	402.4	2.119	42.05
43.094520000	-0.036270000	399.4	2.164	45.27
43.094570000	-0.036030000	399.0	2.184	20.31
43.094640000	-0.035810000	399.0	2.204	19.53
43.094820000	-0.035470000	399.0	2.238	34.15
43.095050000	-0.035180000	399.0	2.273	34.79
43.095480000	-0.034750000	399.0	2.332	59.23
43.095540000	-0.034680000	399.0	2.341	8.77
43.095560000	-0.034620000	399.0	2.346	5.37
43.095600000	-0.034570000	399.2	2.352	6.03
43.095680000	-0.034560000	399.4	2.361	8.92
43.096000000	-0.033960000	400.0	2.421	60.42
43.096300000	-0.033410000	400.0	2.477	55.82
43.096540000	-0.033110000	400.0	2.513	36.16
43.096840000	-0.032840000	400.0	2.553	39.92
43.097000000	-0.032730000	400.0	2.573	19.90
43.097180000	-0.032620000	400.0	2.595	21.91
43.097670000	-0.032360000	400.0	2.653	58.41
43.097740000	-0.032280000	400.0	2.664	10.14
43.097820000	-0.032170000	400.0	2.676	12.62
43.097840000	-0.032050000	400.0	2.686	10.02
43.097890000	-0.031940000	400.0	2.697	10.54
43.097790000	-0.031710000	400.0	2.719	21.77
43.097530000	-0.030970000	403.9	2.785	66.81
43.097460000	-0.030580000	406.8	2.818	32.69
43.097420000	-0.030280000	409.0	2.843	24.82
43.097390000	-0.029760000	410.0	2.885	42.47
43.097380000	-0.029270000	410.0	2.925	39.91
43.097350000	-0.029040000	410.0	2.944	19.02
43.097320000	-0.028900000	410.0	2.956	11.87
43.097240000	-0.028840000	410.0	2.966	10.14
43.097190000	-0.028710000	410.0	2.978	11.95
43.097190000	-0.028550000	410.0	2.991	13.03
43.097240000	-0.028420000	410.0	3.003	11.95
43.097280000	-0.028370000	410.0	3.009	6.03
43.097310000	-0.028340000	410.0	3.013	4.13
43.097320000	-0.028170000	410.0	3.027	13.88
43.097300000	-0.027850000	410.0	3.053	26.15
43.097230000	-0.027410000	410.0	3.090	36.66
43.097130000	-0.027110000	410.0	3.117	26.83
43.096690000	-0.026390000	410.0	3.193	76.32
43.096570000	-0.026060000	410.0	3.223	29.99
43.096520000	-0.025760000	410.0	3.248	25.05
43.096490000	-0.025510000	410.0	3.269	20.62
43.096480000	-0.025080000	410.2	3.304	35.03
43.096440000	-0.024670000	410.2	3.338	33.67
43.096050000	-0.022040000	411.7	3.556	218.46
43.095950000	-0.021320000	412.0	3.616	59.66
43.095650000	-0.019120000	412.7	3.798	182.19
43.095460000	-0.017650000	411.3	3.919	121.53
43.095420000	-0.017100000	410.8	3.964	45.00
43.095320000	-0.016500000	409.9	4.015	50.10
43.095060000	-0.015490000	408.9	4.102	87.15
43.094840000	-0.014780000	408.7	4.164	62.76
43.094770000	-0.014480000	408.8	4.190	25.63
43.094740000	-0.014020000	408.0	4.228	37.60
43.094740000	-0.013040000	406.9	4.307	79.79
43.094730000	-0.010740000	406.0	4.495	187.26
43.094710000	-0.007970000	407.0	4.720	225.53
43.094680000	-0.007690000	407.4	4.743	23.04
43.094670000	-0.006950000	408.0	4.804	60.26
43.094670000	-0.005850000	408.0	4.893	89.56
43.094690000	-0.005280000	408.0	4.940	46.46
43.094670000	-0.000020000	406.1	5.368	428.25
43.094660000	0.002080000	404.0	5.539	170.98
43.094630000	0.004500000	406.0	5.736	197.05
43.094610000	0.006010000	407.4	5.859	122.96
